timestamp,raw_marlin
"2026-05-18T10:31:08.507Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:08.514Z","ok"
"2026-05-18T10:31:13.930Z","ok T:245.00 /245.00 B:85.01 /85.00 @:106 B@:46"
"2026-05-18T10:31:13.932Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:13.935Z","ok"
"2026-05-18T10:31:19.538Z","ok T:245.00 /245.00 B:84.99 /85.00 @:106 B@:50"
"2026-05-18T10:31:19.542Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:19.551Z","ok"
"2026-05-18T10:31:25.504Z","ok T:245.00 /245.00 B:85.01 /85.00 @:106 B@:46"
"2026-05-18T10:31:25.508Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:25.515Z","ok"
"2026-05-18T10:31:30.664Z","ok T:244.53 /245.00 B:85.00 /85.00 @:118 B@:48"
"2026-05-18T10:31:30.665Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:30.669Z","ok"
"2026-05-18T10:31:36.150Z","ok T:245.00 /245.00 B:84.99 /85.00 @:108 B@:50"
"2026-05-18T10:31:36.152Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:36.166Z","ok"
"2026-05-18T10:31:41.271Z","ok T:245.94 /245.00 B:85.02 /85.00 @:83 B@:44"
"2026-05-18T10:31:41.278Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:41.286Z","ok"
"2026-05-18T10:31:46.410Z","ok T:245.00 /245.00 B:85.01 /85.00 @:107 B@:46"
"2026-05-18T10:31:46.413Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:46.414Z","ok"
"2026-05-18T10:31:52.275Z","ok T:245.00 /245.00 B:85.00 /85.00 @:103 B@:48"
"2026-05-18T10:31:52.276Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:52.278Z","ok"
"2026-05-18T10:31:57.863Z","ok T:244.92 /245.00 B:84.99 /85.00 @:106 B@:50"
"2026-05-18T10:31:57.865Z","X:0.00 Y:0.00 Z:0.00 E:0.00 Count X:0 Y:0 Z:0"
"2026-05-18T10:31:57.870Z","ok"
